Cocktail Name,Glass,strIBA,Ingredients,Instructions
War of the Roses,Rocks Glass,,".75 c Junipero Gin, .75 c C. Drouin Calvados Selection, .5 c Lemon Juice, .5 c Ginger-Vanilla Syrup, 4 dash Angostura Bitters, 1 bottle Sparkling Rose",Add all ingredients into a punch bowl. Serve in small rocks glasses.
West Coast Punch,Nick & Nora,,"1.5 oz Junipero Gin, .75 oz Pineapple Juice, .5 oz Monin Strawberry Puree, 6-7  Mint Leaves, .5 oz Lemon Sour, 1 oz Lemon Lime Soda",Add all ingredients in a mixing glass with fresh ice. Shake vigorously and strain into a Nick & Nora glass. Garnish with lime pinwheel and bing cherry.
West Coast Vesper,Coupe,,"1 oz Hophead Vodka, 1 oz Junipero Gin, .5 oz Maurin Quina",Combine all ingredients into a mixing glass and add ice. Stir until proper dilution and strain into a chilled coupe. Garnish with an orange peel.
Where's the Orgeat?,Coupe,,"2 oz H by HINE, 1 oz Small Hand Foods Orgeat, .75 oz Lemon Juice, .5 oz Luxardo Apricot Liqueur, 3 dash Angostura Bitters","Shake, strain into a chilled coupe. Garnish with lemon twist."
White Lady,Coupe,,"2 oz Junipero Gin, .5 oz Luxardo Triplum (Triple Sec), .5 oz Lemon Juice, 1  Egg White","Shake well with cracked ice, then strain into a chilled cocktail glass."
White Lady (Classic) (Adapted),N/A,,"1.5 oz No.3 London Dry Gin, .75 oz Luxardo Triplum (Triple Sec), .75 oz Fresh Lemon Juice, .5 oz Egg White",Shake all ingredients with ice then strain into a chilled cocktail glass.
White Tie,Nick & Nora,,"1 oz Luxardo Bitter Bianco, 2 oz No.3 London Dry Gin, 2 dash Orange Bitters, 1 bsp Luxardo Maraschino Liqueur",Combine all ingredients in mixing glass with ice and stir. Strain into chilled cocktail coupe or Nick & Nora. Expel lemon peel over cocktail then place in glass.
White Walker Flip,Royal Coupette,,"1 oz Glenrothes Vintage Reserve, 1 oz King's Ginger Liqueur, .25 oz Green Chartreuse, .75 oz Sweetened Apple Cider, 2 dash Baked Apple Bitters, 1 whole Egg",Dry shake whole egg until emulsified. Then add Kold Draft ice and all ingredients except bitters and shake vigorously until cold. Strain into chilled royal coupette and garnish with apple wheels.
Willow,Coupe,,"1 oz Old Potrero Straight Rye Whiskey, 1.5 oz BarSol Perfecto Amor (Aperitif Wine), 1 bsp Luxardo Amaro Abano, 1 dash Angostura bitters","Combine all ingredients in a mixing glass, add ice and stir. Strain into a chilled coupe glass and garnish with a Luxardo Maraschino Cherry."
Windtalker,Rocks Glass,,"1.5 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Amaretto di Saschira, .5 oz King's Ginger Liqueur, .75 oz Fresh Lemon Juice, .5 oz Egg White",Shake ingredients with ice until well combined. Strain into a chilled tumbler or large rocks glass over ice sphere or large ice cubes. Garnish with orange peel (or slice) and Luxardo Original Maraschino Cherries on a pick.
Winter Season,Coupe,,"2 oz Barr Hill Honey Gin, 1 oz Lemon Juice, .25 oz Liquid Alchemist Orgeat, .25 oz Luxardo Maraschino Liqueur, 1 bsp Dijon Blue Curaçao","Spray the inside of the glass with absinthe, then sugar the external rim of the glass. Pour ingredients into a cocktail shaker. Shake and strain into the glass."
Winter Swizzle,N/A,,"2 oz Pink Pigeon Rum, 1 oz Fresh lime juice","Muddle a small handful of fresh mint leaves, ¾ oz simple syrup (equal parts sugar and water) 
1 oz fresh lime juice.
Add crushed ice to the glass to fill half way.
pour in 2 oz of Pink Pigeon.
Swizzle to incorporate ingredients and slowly add in the rest of the crushed ice."
Yawkey Way ,N/A,,"1.5 oz No.3 London Dry Gin, .5 oz Smith & Cross, .5 oz Strawberry juice, .5 oz Black tea syrup, .5 oz Lemon juice, 2 dashes Orange bitters",Shake with ice and strain into an ice-filled collins glass.
Yellow Bird,Cocktail glass,New Era Drinks,"White Rum,Galliano,Triple Sec,Lime Juice",Shake and strain into a chilled cocktail glass
"Yes, Queen!",N/A,,"2 oz H by HINE, 1 oz Dolin Dry Vermouth, .5 tsp Giffard Banane du Brésil, .5 tsp Honey Syrup",Served up with a lemon peel garnish.
You Bet Your Ascot,N/A,,"1.5 oz H by HINE, .75 oz Bonal, .5 oz Luxardo Amaro Abano, .25 oz Nocino",Combine all ingredients in a mixing glass. Stir until 2 oz water is diluted. Strain into a sherry or nosing glass. Flame and discard an orange peel. Drink deeply.
You're Bitter Than That,Coupe,,".75 oz Blanco Tequila, .75 oz Luxardo Bitter Bianco, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, .75 oz Fresh Lime Juice, .25 oz Rich Simple Syrup (2:1)",Mount all ingredients in a shaker tin. Add ice. Hard shake. Double strain into a chilled coupe glass. Garnish with orange twist.
Ypioca Chile Punch,N/A,,"2 part Ypioca Brasilizar Cachaca Prata Classica, 1 part Fresh Lime Juice, .5 part Agave, .5 part Ancho Reyes Ancho Chile Liqueur","For a punch, combine Ypioca, lime, agave and Ancho Reyes together. Add fresh pineapple chunks, 3 thin sliced chiles (seeds included) and 1 star anise to garnish."
Ypioca Yellow Card,Highball Glass,,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 oz King's Ginger Liqueur, 1 oz Pineapple Juice, .5 oz Simple Syrup, 2 oz Coconut Water, 1 fill Soda Water",Build all into highball. Fill with ice. Top with soda water. Place pineapple leaf vertically in the glass.
Zippy's Revenge,Old-fashioned glass,,"Amaretto,Rum,Kool-Aid",Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zorbatini,Cocktail glass,,"Vodka,Ouzo",Prepare like a Martini. Garnish with a green olive.
